instance,customer_count,class,source_paper,source_doi,source_year,charging_model,objective_function,distance_metric,bks_vehicles,bks_distance,bks_charging_time,bks_charging_count,model_compatible,compatibility_notes
r209_21,100,R2,"Goeke, Schneider (2015)",10.1016/j.ejor.2015.01.049,2015,full_recharge,"lexicographic(m,distance)",euclidean_solomon,3,867.05,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
r210_21,100,R2,"Goeke, Schneider (2015)",10.1016/j.ejor.2015.01.049,2015,full_recharge,"lexicographic(m,distance)",euclidean_solomon,3,846.2,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
r211_21,100,R2,"Goeke, Schneider (2015)",10.1016/j.ejor.2015.01.049,2015,full_recharge,"lexicographic(m,distance)",euclidean_solomon,2,827.89,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
rc101_21,100,RC1,"Hiermann, Puchinger, Ropke, Hartl (2016)",10.1016/j.ejor.2016.01.038,2016,full_recharge,"lexicographic(m,distance)",euclidean_solomon,16,1726.91,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
rc102_21,100,RC1,"Hiermann, Puchinger, Ropke, Hartl (2016)",10.1016/j.ejor.2016.01.038,2016,full_recharge,"lexicographic(m,distance)",euclidean_solomon,14,1552.08,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
rc103_21,100,RC1,"Goeke, Schneider (2015)",10.1016/j.ejor.2015.01.049,2015,full_recharge,"lexicographic(m,distance)",euclidean_solomon,13,1350.09,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
rc104_21,100,RC1,"Goeke, Schneider (2015)",10.1016/j.ejor.2015.01.049,2015,full_recharge,"lexicographic(m,distance)",euclidean_solomon,11,1227.25,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
rc105_21,100,RC1,"Hiermann, Puchinger, Ropke, Hartl (2016)",10.1016/j.ejor.2016.01.038,2016,full_recharge,"lexicographic(m,distance)",euclidean_solomon,14,1475.31,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
rc106_21,100,RC1,"Goeke, Schneider (2015)",10.1016/j.ejor.2015.01.049,2015,full_recharge,"lexicographic(m,distance)",euclidean_solomon,13,1427.21,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
rc107_21,100,RC1,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,12,1274.89,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
rc108_21,100,RC1,"Goeke, Schneider (2015)",10.1016/j.ejor.2015.01.049,2015,full_recharge,"lexicographic(m,distance)",euclidean_solomon,11,1197.83,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
rc201_21,100,RC2,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,4,1444.94,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
rc202_21,100,RC2,"Goeke, Schneider (2015)",10.1016/j.ejor.2015.01.049,2015,full_recharge,"lexicographic(m,distance)",euclidean_solomon,3,1410.74,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
rc203_21,100,RC2,"Goeke, Schneider (2015)",10.1016/j.ejor.2015.01.049,2015,full_recharge,"lexicographic(m,distance)",euclidean_solomon,3,1055.19,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
rc204_21,100,RC2,"Goeke, Schneider (2015)",10.1016/j.ejor.2015.01.049,2015,full_recharge,"lexicographic(m,distance)",euclidean_solomon,3,884.8,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
rc205_21,100,RC2,"Goeke, Schneider (2015)",10.1016/j.ejor.2015.01.049,2015,full_recharge,"lexicographic(m,distance)",euclidean_solomon,3,1273.55,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
rc206_21,100,RC2,"Goeke, Schneider (2015)",10.1016/j.ejor.2015.01.049,2015,full_recharge,"lexicographic(m,distance)",euclidean_solomon,3,1188.63,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
rc207_21,100,RC2,"Goeke, Schneider (2015)",10.1016/j.ejor.2015.01.049,2015,full_recharge,"lexicographic(m,distance)",euclidean_solomon,3,985.03,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
rc208_21,100,RC2,"Goeke, Schneider (2015)",10.1016/j.ejor.2015.01.049,2015,full_recharge,"lexicographic(m,distance)",euclidean_solomon,3,836.29,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
